,ID,Tweet,anger,disgust,fear,joy,love,optimism,pessimism,sadness,trust,neg,pos,label,message_processed,message_length
0,2017-En-21441,âWorry is a down payment on a problem you may never have'. Â Joyce Meyer.  #motivation #leadership #worry,0,0,0,0,0,1,0,0,1,0,2,0,worry payment problem may never joyce meyer motivation leadership worry,107
1,2017-En-31535,Whatever you decide to do make sure it makes you #happy.,0,0,0,1,1,1,0,0,0,0,3,0,whatever decide make sure make happy,56
3,2017-En-31436,Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton ð¶,0,0,0,1,0,1,0,0,0,0,2,0,accept challenge literally even feel exhilaration victory george patton,112
4,2017-En-22195,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,1,1,0,0,0,0,0,0,0,2,0,1,roommate okay spell autocorrect terrible firstworldprobs,98
5,2017-En-22190,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,0,0,0,1,0,0,0,0,0,0,1,0,cute atsu probably shy photo cherry help uwu,94
6,2017-En-20221,Do you think humans have the sense for recognizing impending doom? ,0,0,0,0,0,0,1,0,0,1,0,1,think human sense recognize impending doom,67
7,2017-En-22180,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",1,1,0,0,0,0,0,0,0,2,0,1,rooneys fuck untouchable fuck dreadful depay look decent ish tonight,102
8,2017-En-41344,it's pretty depressing when u hit pan on ur favourite highlighter,0,1,0,0,0,0,0,1,0,2,0,1,pretty depress hit pan favourite highlighter,65
9,2017-En-20759,@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,1,1,0,0,0,0,0,0,0,2,0,1,pussy weak heard stfu bitch get threaten pregnant,123
10,2017-En-40158,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,0,1,0,0,0,0,1,1,0,3,0,1,make yearly transition excite hopeful college returner sick exhaust pessimist college,113
12,2017-En-31337,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,0,0,0,1,1,0,0,0,0,0,2,0,tiller breezy collab album rap sing prolly fire,78
13,2017-En-10902,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kaitð,1,0,0,0,0,0,0,1,0,2,0,1,girl hit car get lucky scratch also spar wrath sleep deprive kait,143
14,2017-En-11274,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,1,1,0,0,0,0,0,0,0,2,0,1,broadband shock regret sign angry shouldofgonewithvirgin,85
15,2017-En-11097,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,1,1,0,0,0,0,0,1,0,3,0,1,people need look definition protest protesting call vandalism angry stop,124
